Term	Gene
GO:0005506	Q9VG82
GO:0005789	Q9VG82
GO:0016705	Q9VG82
GO:0020037	Q9VG82
GO:0035220	Q9VG82
GO:0004222	A0A0C5PRQ1
GO:0005576	A0A0C5PRQ1
GO:0006508	A0A0C5PRQ1
GO:0008270	A0A0C5PRQ1
GO:0018996	A0A0C5PRQ1
GO:0005302	A1L1W9
GO:0008028	A1L1W9
GO:0015173	A1L1W9
GO:0015192	A1L1W9
GO:0015196	A1L1W9
GO:0015349	A1L1W9
GO:0015801	A1L1W9
GO:0016323	A1L1W9
GO:0070327	A1L1W9
GO:0004890	P16305
GO:0005237	P16305
GO:0005886	P16305
GO:0007165	P16305
GO:0007214	P16305
GO:0008503	P16305
GO:0016020	P16305
GO:0022851	P16305
GO:0030425	P16305
GO:0032590	P16305
GO:0032809	P16305
GO:0034707	P16305
GO:0042734	P16305
GO:0043235	P16305
GO:0044877	P16305
GO:0045202	P16305
GO:0045211	P16305
GO:0050809	P16305
GO:0050877	P16305
GO:0051932	P16305
GO:0060078	P16305
GO:0098686	P16305
GO:0098794	P16305
GO:0098982	P16305
GO:0099192	P16305
GO:0099634	P16305
GO:1901363	P16305
GO:1902476	P16305
GO:1902711	P16305
GO:1904315	P16305
GO:0003713	Q32L60
GO:0005737	Q32L60
GO:0005789	Q32L60
GO:0008270	Q32L60
GO:0010332	Q32L60
GO:0010942	Q32L60
GO:0016239	Q32L60
GO:0016567	Q32L60
GO:0030433	Q32L60
GO:0032897	Q32L60
GO:0043123	Q32L60
GO:0044790	Q32L60
GO:0045087	Q32L60
GO:0051092	Q32L60
GO:0051865	Q32L60
GO:0061630	Q32L60
GO:0097038	Q32L60
GO:0000165	P46197
GO:0001549	P46197
GO:0001570	P46197
GO:0001945	P46197
GO:0001958	P46197
GO:0001964	P46197
GO:0001974	P46197
GO:0002062	P46197
GO:0003417	P46197
GO:0004383	P46197
GO:0004672	P46197
GO:0005524	P46197
GO:0005525	P46197
GO:0005634	P46197
GO:0005737	P46197
GO:0005886	P46197
GO:0005929	P46197
GO:0006182	P46197
GO:0006468	P46197
GO:0007033	P46197
GO:0007168	P46197
GO:0007173	P46197
GO:0007268	P46197
GO:0007283	P46197
GO:0007605	P46197
GO:0008015	P46197
GO:0016941	P46197
GO:0017046	P46197
GO:0019228	P46197
GO:0021647	P46197
GO:0030540	P46197
GO:0034699	P46197
GO:0035108	P46197
GO:0035112	P46197
GO:0035264	P46197
GO:0035483	P46197
GO:0035988	P46197
GO:0036342	P46197
GO:0042802	P46197
GO:0043005	P46197
GO:0045202	P46197
GO:0048546	P46197
GO:0048668	P46197
GO:0048745	P46197
GO:0050872	P46197
GO:0051276	P46197
GO:0051402	P46197
GO:0051447	P46197
GO:0060385	P46197
GO:0060466	P46197
GO:0061042	P46197
GO:0061939	P46197
GO:0071321	P46197
GO:0071774	P46197
GO:0097011	P46197
GO:0097194	P46197
GO:1900194	P46197
GO:1901653	P46197
GO:1902074	P46197
GO:1903537	P46197
GO:0000139	Q24157
GO:0001744	Q24157
GO:0005795	Q24157
GO:0006493	Q24157
GO:0006688	Q24157
GO:0007219	Q24157
GO:0007293	Q24157
GO:0007298	Q24157
GO:0007299	Q24157
GO:0008194	Q24157
GO:0016020	Q24157
GO:0016333	Q24157
GO:0030707	Q24157
GO:0042248	Q24157
GO:0046981	Q24157
GO:0047915	Q24157
GO:0004867	Q90W99
GO:0005576	Q90W99
GO:0010466	Q90W99
GO:0004930	Q80T32
GO:0005654	Q80T32
GO:0005829	Q80T32
GO:0005886	Q80T32
GO:0007166	Q80T32
GO:0007186	Q80T32
GO:0007189	Q80T32
GO:0016607	Q80T32
GO:0022008	Q80T32
GO:0015280	Q19038
GO:0016020	Q19038
GO:0035725	Q19038
GO:0001736	Q24292
GO:0005509	Q24292
GO:0005886	Q24292
GO:0007156	Q24292
GO:0007560	Q24292
GO:0016327	Q24292
GO:0035331	Q24292
GO:0035332	Q24292
GO:0042067	Q24292
GO:0070161	Q24292
GO:0090251	Q24292
GO:0001701	Q15256
GO:0004725	Q15256
GO:0005001	Q15256
GO:0005615	Q15256
GO:0005829	Q15256
GO:0005886	Q15256
GO:0006470	Q15256
GO:0007165	Q15256
GO:0010633	Q15256
GO:0019901	Q15256
GO:0030054	Q15256
GO:0035335	Q15256
GO:0038128	Q15256
GO:0048471	Q15256
GO:0070373	Q15256
GO:0003677	P34257
GO:0005634	P34257
GO:0006310	P34257
GO:0015074	P34257
GO:0000976	P20153
GO:0000978	P20153
GO:0001046	P20153
GO:0003677	P20153
GO:0003707	P20153
GO:0004879	P20153
GO:0005102	P20153
GO:0005634	P20153
GO:0005700	P20153
GO:0006697	P20153
GO:0007281	P20153
GO:0007298	P20153
GO:0007552	P20153
GO:0008230	P20153
GO:0008232	P20153
GO:0008270	P20153
GO:0008289	P20153
GO:0016319	P20153
GO:0016322	P20153
GO:0030154	P20153
GO:0030425	P20153
GO:0035073	P20153
GO:0035075	P20153
GO:0040034	P20153
GO:0042562	P20153
GO:0042594	P20153
GO:0045596	P20153
GO:0045892	P20153
GO:0045893	P20153
GO:0045944	P20153
GO:0046620	P20153
GO:0046982	P20153
GO:0048813	P20153
GO:0048856	P20153
GO:0071390	P20153
GO:0004062	Q9U2Z2
GO:0005737	Q9U2Z2
GO:0005829	Q9U2Z2
GO:0006790	Q9U2Z2
GO:0006970	Q9U2Z2
GO:0008146	Q9U2Z2
GO:0016020	Q9U2Z2
GO:0034930	Q9U2Z2
GO:0051923	Q9U2Z2
GO:0005886	Q99N01
GO:0006811	Q99N01
GO:0008514	Q99N01
GO:0015132	Q99N01
GO:0015347	Q99N01
GO:0015349	Q99N01
GO:0042403	Q99N01
GO:0043252	Q99N01
GO:0000149	P21521
GO:0001786	P21521
GO:0005509	P21521
GO:0005544	P21521
GO:0007268	P21521
GO:0007269	P21521
GO:0007317	P21521
GO:0008021	P21521
GO:0008345	P21521
GO:0014059	P21521
GO:0016020	P21521
GO:0016079	P21521
GO:0016192	P21521
GO:0017158	P21521
GO:0019905	P21521
GO:0030276	P21521
GO:0030424	P21521
GO:0030672	P21521
GO:0031045	P21521
GO:0031340	P21521
GO:0031594	P21521
GO:0042803	P21521
GO:0043195	P21521
GO:0048488	P21521
GO:0048791	P21521
GO:0050803	P21521
GO:0060024	P21521
GO:0071277	P21521
GO:0150007	P21521
GO:1900073	P21521
GO:0000981	Q8MRW5
GO:0001964	Q8MRW5
GO:0005634	Q8MRW5
GO:0006357	Q8MRW5
GO:0042594	Q8MRW5
GO:0043565	Q8MRW5
GO:0045938	Q8MRW5
GO:0060159	Q8MRW5
GO:0004713	Q9VBW3
GO:0004714	Q9VBW3
GO:0005509	Q9VBW3
GO:0005524	Q9VBW3
GO:0005886	Q9VBW3
GO:0006468	Q9VBW3
GO:0007030	Q9VBW3
GO:0007156	Q9VBW3
GO:0007169	Q9VBW3
GO:0014068	Q9VBW3
GO:0016339	Q9VBW3
GO:0033674	Q9VBW3
GO:0042060	Q9VBW3
GO:0043235	Q9VBW3
GO:0045177	Q9VBW3
GO:0045792	Q9VBW3
GO:0090303	Q9VBW3
GO:0001566	Q8K0T7
GO:0005509	Q8K0T7
GO:0005516	Q8K0T7
GO:0005543	Q8K0T7
GO:0005886	Q8K0T7
GO:0007268	Q8K0T7
GO:0007528	Q8K0T7
GO:0016079	Q8K0T7
GO:0016081	Q8K0T7
GO:0016082	Q8K0T7
GO:0016188	Q8K0T7
GO:0017075	Q8K0T7
GO:0019905	Q8K0T7
GO:0019992	Q8K0T7
GO:0030672	Q8K0T7
GO:0031594	Q8K0T7
GO:0031914	Q8K0T7
GO:0035249	Q8K0T7
GO:0042734	Q8K0T7
GO:0043195	Q8K0T7
GO:0044305	Q8K0T7
GO:0061789	Q8K0T7
GO:0098688	Q8K0T7
GO:0098793	Q8K0T7
GO:0098831	Q8K0T7
GO:0099525	Q8K0T7
GO:0003179	Q9P2N4
GO:0003229	Q9P2N4
GO:0004222	Q9P2N4
GO:0005615	Q9P2N4
GO:0005783	Q9P2N4
GO:0006508	Q9P2N4
GO:0008237	Q9P2N4
GO:0008270	Q9P2N4
GO:0009617	Q9P2N4
GO:0009986	Q9P2N4
GO:0010596	Q9P2N4
GO:0015031	Q9P2N4
GO:0016192	Q9P2N4
GO:0030198	Q9P2N4
GO:0030318	Q9P2N4
GO:0031012	Q9P2N4
GO:0035909	Q9P2N4
GO:0043231	Q9P2N4
GO:0045636	Q9P2N4
GO:0090673	Q9P2N4
GO:1903671	Q9P2N4
GO:0003924	P17081
GO:0005522	P17081
GO:0005525	P17081
GO:0005884	P17081
GO:0005886	P17081
GO:0006897	P17081
GO:0007163	P17081
GO:0007264	P17081
GO:0008286	P17081
GO:0008360	P17081
GO:0030660	P17081
GO:0030866	P17081
GO:0032427	P17081
GO:0032869	P17081
GO:0032956	P17081
GO:0045121	P17081
GO:0045944	P17081
GO:0046039	P17081
GO:0046326	P17081
GO:0051491	P17081
GO:0070062	P17081
GO:1903077	P17081
GO:0005886	Q03445
GO:0006812	Q03445
GO:0008066	Q03445
GO:0008328	Q03445
GO:0015277	Q03445
GO:0035249	Q03445
GO:0050804	Q03445
GO:0098839	Q03445
GO:1904315	Q03445
GO:0002023	Q99988
GO:0005125	Q99988
GO:0005576	Q99988
GO:0005615	Q99988
GO:0005634	Q99988
GO:0005737	Q99988
GO:0005794	Q99988
GO:0007165	Q99988
GO:0007179	Q99988
GO:0007267	Q99988
GO:0008083	Q99988
GO:0010862	Q99988
GO:0035860	Q99988
GO:0040015	Q99988
GO:0042803	Q99988
GO:0043410	Q99988
GO:0051897	Q99988
GO:0060395	Q99988
GO:0060400	Q99988
GO:0070062	Q99988
GO:1901741	Q99988
GO:0005109	Q93098
GO:0005125	Q93098
GO:0005576	Q93098
GO:0005615	Q93098
GO:0007165	Q93098
GO:0007369	Q93098
GO:0007399	Q93098
GO:0030182	Q93098
GO:0032355	Q93098
GO:0032526	Q93098
GO:0045165	Q93098
GO:0048018	Q93098
GO:0048263	Q93098
GO:0060070	Q93098
GO:0071300	Q93098
GO:0005343	Q8BYF6
GO:0006814	Q8BYF6
GO:0006915	Q8BYF6
GO:0015129	Q8BYF6
GO:0015552	Q8BYF6
GO:0015636	Q8BYF6
GO:0015718	Q8BYF6
GO:0015730	Q8BYF6
GO:0015913	Q8BYF6
GO:0016324	Q8BYF6
GO:0031526	Q8BYF6
GO:0140161	Q8BYF6
GO:0004806	Q6P8U6
GO:0005615	Q6P8U6
GO:0006629	Q6P8U6
GO:0009791	Q6P8U6
GO:0016042	Q6P8U6
GO:0016298	Q6P8U6
GO:0030299	Q6P8U6
