OG	Model	wAIC	LRT	Coeff_inter	Coeff_slope	phyCorrelation	Category	binOne	binZero
OG0002956	fitOU1	0.332131148102296	0.437482732152821	-0.364360203572229	-0.0728793762209606	0.00347181833839397	ovipar	14	14
OG0002958	fitBMS	0.303836268190862	0.558787366447758	-0.522595562471993	0.0435369030269565	0.000979205950788552	ovipar	15	14
OG0002959	fitOU1	0.321295681793878	0.477593880224626	-0.23647718402264	0.062031079859245	0.00347031859418885	ovipar	12	12
OG0002962	fitOU1	0.325165742103926	0.4625422308462	-0.451928948175306	0.0449359012007225	0.00201869537145507	ovipar	10	10
OG0002964	fitOU1	0.287012097647944	0.671270282596876	-0.205367521957377	0.0856642047588531	0.00857641169514242	ovipar	14	12
OG0002965	fitBMS	0.302981861488031	0.563475023254237	1.5051871516771	0.140414288311035	0.00517804867752694	ovipar	15	10
OG0002966	fitOU1	0.331416090029389	0.439945121217151	-0.393635111469557	0.112541046122433	0.00207333045733346	ovipar	15	8
OG0002969	fitOUMV	0.297869555885649	0.593395366776643	-0.635477559363534	0.0950763071426171	0.000984432774933417	ovipar	11	9
OG0002972	fitOU1	0.335631205850983	0.425763781147869	-0.365685540169252	0.105907438501282	0.00509655948133059	ovipar	14	15
OG0002974	fitOU1	0.292443562221988	0.629375480218617	0.696181414352079	0.386577593784025	0.00359303145142494	ovipar	15	12
OG0002975	fitOU1	0.00235060453003834	1	4.53370863257851	0.566278992258444	6.1169681226462e-05	ovipar	17	14
OG0002976	fitOU1	0.291689499954573	0.634794741412592	-1.03596348600146	0.187160538270662	0.00270721718760139	ovipar	11	9
OG0002977	fitOU1	0.387772996563453	0.297218222506497	0.113021386472324	0.173883750381002	0.00478898442279988	ovipar	13	13
OG0002978	fitOU1	0.323038201936848	0.470708839109704	-0.662328723097402	0.0610583546596028	0.00677972411382738	ovipar	13	14
OG0002979	fitOU1	0.315738242994552	0.500844747466614	-0.243901292961015	0.134309892123637	0.00410285698717675	ovipar	14	10
OG0002982	fitOU1	0.286247300594618	0.677776872318393	-0.340001529182725	0.0491049893360724	0.00312911731754127	ovipar	13	12
OG0002987	fitOUMVA	0.254272265718424	1	-0.661559395213228	0.0651739641240948	0.00604613867209335	ovipar	13	7
OG0002992	fitOU1	0.0122992647240741	1	1.28965140555765	-0.0613517924707565	0.00100043757676894	ovipar	12	10
OG0002994	fitOUMV	0.335937873703478	0.424762495765302	-0.472284926378457	0.00972427257461116	0.00157059104947387	ovipar	16	13
OG0002996	fitOUMA	0.599894388997868	0.0936754464989164	-0.252987155557573	-0.572210566679853	0.0217143278113919	ovipar	12	13
OG0002997	fitBMS	0.427177603020198	0.234517906861458	1.06151922890716	0.178832458565077	0.00367687177772178	ovipar	14	9
OG0002999	fitBMS	0.262585327966378	1	-0.508058645966887	-0.00678978118584918	0.00138985653760744	ovipar	7	12
OG0003001	fitOU1	0.555384626583248	0.117907201346353	-0.236085247728563	0.185842409834446	0.00998085099406729	ovipar	13	13
OG0003002	fitOUMA	0.271142956324378	0.881193644818702	-0.21996195901824	-0.0568432509073323	0.00160846011886158	ovipar	13	13
OG0003005	fitBMS	0.288031981255142	0.662852493745423	-0.684216213537504	-0.0425146195169322	0.00352589931248119	ovipar	14	12
OG0003007	fitBMS	0.285967309687085	0.680202907259651	-1.06924454158559	-0.035909335510262	0.00385279769893084	ovipar	15	13
OG0003010	fitBMS	0.280208123749049	0.736596065056884	-0.453710904842179	0.00132918168188034	0.00230396544884875	ovipar	14	13
OG0003013	fitBMS	0.334298597923844	0.430161735490357	-0.722358022684949	0.0705587670802935	0.00384814513922091	ovipar	13	18
OG0003015	fitOU1	0.333388769628979	0.433209102481907	-0.522571643965742	-0.0149360891026981	0.00212168443447142	ovipar	14	15
OG0003021	fitOUMV	0.290123423609438	0.64643009417881	-0.505425130168853	-0.0469826624269644	0.000926597796398743	ovipar	14	15
OG0003022	fitOU1	0.378389682211184	0.315569200108724	-0.0144080907681959	0.114065293969205	0.00432940434836659	ovipar	15	8
OG0003026	fitOU1	0.340163426391956	0.411359545770161	-0.606123367095265	-0.0364207854416733	0.00247951544638603	ovipar	14	13
OG0003027	fitOUMVA	0.272682777337362	0.845658537666214	-0.808161894180681	-0.00455512103893041	0.00236858212267448	ovipar	6	9
OG0003033	fitBMS	0.41044578406838	0.258689941869553	-0.2622883025721	-0.0746524048410222	0.00400206582940019	ovipar	12	19
OG0003035	fitOUMV	0.759132627602769	0.0382052672003545	-1.42906536986484	-0.430107459011807	0.010536436643878	ovipar	16	13
OG0003040	fitBM1	0.2671399651135	1	-0.45865645977645	-0.197179501554752	0.0041989494502219	ovipar	14	12
OG0003041	fitOUMVA	0.289259581069248	0.653083693212867	-1.40645014114093	-0.0957058931514153	0.00188487419919035	ovipar	10	10
OG0003042	fitOUM	0.665979932696953	0.0659873732730529	-0.447836919507728	0.664163383628243	0.00891818941370986	ovipar	8	15
OG0003043	fitBMS	0.311202597587727	0.521465464164758	-0.193901538592086	-0.0439150142564956	0.0027086072746511	ovipar	11	14
OG0003044	fitOUMA	0.332491466262976	0.436250921433426	0.0370685569471041	-0.0455768740914367	0.00247588658625946	ovipar	11	15
OG0003049	fitBMS	0.374376375993776	0.32392681334838	-0.1725272843886	-0.142532980145066	0.00410141639765256	ovipar	15	12
OG0003053	fitOU1	0.366608408865956	0.341068528422368	-0.0634316744121781	0.0668926586456954	0.0054947385802071	ovipar	15	8
OG0003065	fitOUMV	0.453257880646121	0.202400462583897	-0.712243769166785	0.499954213844361	0.00871844228873186	ovipar	12	12
OG0003066	fitOUMA	0.315285406998845	0.502832878666966	-0.50182625560834	0.0803228561214741	0.00111302675140854	ovipar	13	13
OG0003067	fitBMS	0.398433355110872	0.278170630605025	2.90901722870536	1.0277577375622	0.00465249281429106	ovipar	12	2
OG0003068	fitOUM	0.32192728882746	0.475077233304497	-0.303681571200571	0.0297058815708692	0.00318896273397377	ovipar	9	10
OG0003069	fitOU1	0.294698448316878	0.61381669996134	0.0575166833917368	0.0334994809502062	0.000389347489596216	ovipar	17	18
OG0003070	fitOU1	0.279775468226521	0.741458656638421	0.0663057318865108	-0.0444723693891864	0.00254922876881168	ovipar	15	10
OG0003071	fitBM1	0.371108038419643	0.330978009213881	0.0688967622003654	0.0777830533058957	0.00230450284106035	ovipar	12	15
