OG	Model	wAIC	LRT	Coeff_inter	Coeff_slope	phyCorrelation	Category	binOne	binZero
OG0000007	fitOU1	0.287586619658554	0.666493226258739	-0.197591074339587	-0.165902955365441	0.00689491164654622	ovipar	20	23
OG0000023	fitOU1	0.280913432184988	0.728893969134477	-0.594612833916249	0.0714646390576343	0.00128977718744607	ovipar	20	22
OG0000026	fitOUM	0.378113512395106	0.316134073439259	-0.992055689964025	0.386883046820631	0.00766399575829404	ovipar	20	22
OG0000027	fitOU1	0.32704709150053	0.455529127979477	-0.552797810230885	0.0298972874978711	0.00238227959249742	ovipar	20	22
OG0000031	fitOUM	0.406249175728439	0.265275735752094	-0.287359879777548	0.160676094376675	0.00643546992639802	ovipar	20	23
OG0000038	fitOU1	0.306647025889529	0.543923493271995	-0.705327693301415	0.018066530477832	0.00221445053588853	ovipar	20	23
OG0000039	fitOUM	0.326643628085132	0.457017153041133	-0.223513146311059	-0.0130354829836759	0.00350993042353441	ovipar	20	22
OG0000041	fitOU1	0.331731650911984	0.438855506872752	-0.488803469951632	0.049990655809816	0.00440287091314172	ovipar	20	23
OG0000045	fitOU1	0.284996327834378	0.688809444270093	-0.272150446286294	0.0949472962612744	0.00406220636705772	ovipar	19	23
OG0000052	fitBMS	0.518859121956458	0.142482206734089	0.682809999564356	0.133960788410449	0.00519290573834414	ovipar	20	23
OG0000061	fitOUM	0.309659133727376	0.528864286064174	-0.506909695043748	0.0054009510580123	0.000736779278506827	ovipar	20	23
OG0000063	fitOU1	0.218577959818041	1	0.0856325978232842	-0.156504068045359	0.00909892210963485	ovipar	20	23
OG0000065	fitOU1	0.415945561666684	0.250391074496807	0.191028814204606	-0.127853439330339	0.00567860558125016	ovipar	20	23
OG0000066	fitBM1	0.311720687263484	0.519027352053078	-1.34554229411022	0.302788262838548	0.0121551748248779	ovipar	19	23
OG0000074	fitOU1	0.326334763683652	0.458162115522792	-0.777976559058073	-0.0138786138806123	0.00304963219059645	ovipar	20	23
OG0000076	fitOUM	0.190116383461898	1	-0.930954240096506	-0.270113026877318	0.0119603080578659	ovipar	20	22
OG0000080	fitBMS	0.256320978305386	1	-0.472311321642481	0.0874824446678579	0.00418781990199596	ovipar	20	23
OG0000081	fitBMS	0.247120056927095	1	0.615706980465139	-0.33105351800958	0.00122895989742801	ovipar	20	23
OG0000083	fitBM1	0.284781299564188	0.690757742762421	-0.250953305969257	0.0903042766262413	0.00459269901772308	ovipar	20	23
OG0000087	fitOU1	0.335081876977252	0.427567406587895	-0.656187582862666	0.0936148836451496	0.00172667844166861	ovipar	20	23
OG0000089	fitOUMV	0.296135868032628	0.604362627253078	-0.593597215428355	0.0439860271392269	0.00191908242253705	ovipar	20	23
OG0000091	fitOUM	0.339741916733984	0.412664552782484	-0.323305351179758	0.022459066839786	0.00220059524300196	ovipar	20	23
OG0000092	fitOU1	0.20699987462943	1	-0.457146339233738	0.148553521072374	0.00724102825643146	ovipar	20	23
OG0000099	fitOUM	0.323560369074676	0.46868058710601	-0.852755100240323	0.00393701721640025	0.00375656649624395	ovipar	19	23
OG0000100	fitBM1	0.279107543686633	0.749188274140697	-1.45168712449027	0.110633091795117	6.25612451811349e-05	ovipar	13	21
OG0000101	fitBM1	0.296363309128826	0.602897501685219	-0.415131148294402	0.0286751922390912	0.00249213213674064	ovipar	20	20
OG0000106	fitOU1	0.304241600265413	0.556592057477514	0.362186647924852	0.249018353850134	0.00864949376326711	ovipar	14	23
OG0000110	fitBM1	0.322154373600978	0.474178306979209	-0.230389304490166	0.052490166590113	0.000943717944887422	ovipar	20	23
OG0000112	fitOU1	0.293523961737845	0.621804141659493	0.0316072442877419	0.058546282640418	0.00465355495158502	ovipar	20	23
OG0000117	fitOU1	0.300267732022397	0.578938748626874	0.0587293066639679	-0.142099401234459	0.00243719301975691	ovipar	19	23
OG0000119	fitBMS	0.36080033031024	0.354799885948389	-0.970083776263048	0.230601685746892	0.00339897332851361	ovipar	20	23
OG0000120	fitBMS	0.351860597070501	0.377674272944696	-0.126543231361425	-0.106843041886144	0.00408630336129785	ovipar	19	23
OG0000124	fitBM1	0.424835096732648	0.237715845377091	-0.820457404428543	0.0988026758801977	0.00504971665412833	ovipar	20	23
OG0000127	fitOU1	0.283709224243177	0.700716743635249	-0.346718310964544	0.00848568079635314	0.00100595111934319	ovipar	19	23
OG0000133	fitBM1	0.269255052877436	0.954965100493707	0.0233577909248705	0.0620505502113524	0.00854380572309985	ovipar	20	23
OG0000135	fitOU1	0.373866631138184	0.325011734119955	0.391751438247535	-0.318392674871483	0.00455833437971217	ovipar	20	23
OG0000139	fitOU1	0.330964029940238	0.441514235127646	-0.284271752988649	0.095326933862943	0.00804237122462016	ovipar	18	22
OG0000141	fitOU1	0.343609890380446	0.400940639435601	-0.183518336299767	-0.0379438069883478	0.00169028758483083	ovipar	19	23
OG0000143	fitOU1	0.337477733251096	0.419794400205242	-0.155567839633359	0.185524298053228	0.010342409047912	ovipar	20	22
OG0000144	fitOU1	0.300297846629527	0.578762137390306	-0.417080205735348	0.0818294705047966	0.00372681729993548	ovipar	20	23
OG0000147	fitOUMA	0.318842275755913	0.487605715959435	-1.66192445750015	0.623736979635796	0.0112637564015162	ovipar	20	22
OG0000148	fitOU1	0.471049451090818	0.18361289906111	-0.502234528194207	-0.0998796130871692	0.00314703970208184	ovipar	18	23
OG0000151	fitBMS	0.260417885248394	1	-0.222315328594854	-0.0515137665616685	0.0031261015786949	ovipar	20	22
OG0000153	fitOU1	0.288575255847703	0.658482226992183	-0.281823809148942	-0.111307139162664	0.00294825190919698	ovipar	20	23
OG0000156	fitOUM	0.710481849074924	0.0513920321648185	0.510678062705535	-0.618997870250094	0.0167532892876764	ovipar	19	23
OG0000157	fitBM1	0.327349927713891	0.454417848145842	-0.367312282139501	0.0892791891076811	0.00490089800452541	ovipar	16	20
OG0000160	fitOU1	0.311219306321793	0.521386483549962	-0.182033202625283	-0.0131994927659548	0.00119077431960146	ovipar	20	23
OG0000161	fitBM1	0.339597493851288	0.413113276822712	-0.415629572807353	0.063753337062568	0.00440281828125753	ovipar	20	20
OG0000170	fitBM1	0.337615647500361	0.419354223160201	-0.437579524543658	0.109190874106583	0.00445930884679606	ovipar	19	22
OG0000173	fitOU1	0.365263851120692	0.344174158279789	-0.632738005592793	0.0875970158137639	0.00362840693316659	ovipar	19	23
OG0000174	fitOU1	0.287381396374368	0.668189040888744	-1.02628982877844	-0.0691933847160736	0.00110246960657353	ovipar	20	23
OG0000175	fitBMS	0.342511660806981	0.404212969283965	-1.756389454223	0.592229207989044	0.0122847966645939	ovipar	14	22
OG0000176	fitOU1	0.27862182811729	0.754992061618651	-0.951391947278837	-0.0273709136593431	0.00191659494501705	ovipar	20	23
OG0000183	fitOU1	0.323808261914357	0.46772320775303	-0.64414463551306	0.0707540738289413	0.00196541892997365	ovipar	18	23
OG0000184	fitBM1	0.370129085129794	0.333134714320635	-0.367743755130593	0.0496968471977877	0.00487516433562968	ovipar	18	23
OG0000187	fitOU1	0.30558156538257	0.549460781107125	-0.102944459564418	-0.0931702869283373	0.00442526538060273	ovipar	20	23
OG0000192	fitOU1	0.317647506808038	0.492623108401615	-1.43379478967781	0.248046701409029	0.00597768057105427	ovipar	20	23
OG0000202	fitOU1	0.278481449881752	0.756699939577632	0.181981176750112	-0.388799636893036	0.00525180190613608	ovipar	20	23
OG0000205	fitOU1	0.332414680244449	0.436512926862955	-1.21445617233718	0.106695798568716	0.00377155149637258	ovipar	20	23
OG0000206	fitOU1	0.232222374215974	1	-0.204481230587879	0.0931007383517797	0.00286934627426659	ovipar	20	23
OG0000209	fitBM1	0.25961990334214	1	0.167824329693167	-0.197854913471281	0.00750896233179027	ovipar	20	23
OG0000211	fitOU1	0.283481924765266	0.702883295106403	-0.636292399805556	0.0293882118473428	0.00240493942510882	ovipar	20	22
OG0000215	fitOUMV	0.310632022822947	0.524176689353763	-0.897592551460094	-0.0593790861690688	0.00160007517768176	ovipar	20	22
OG0000220	fitOUM	0.305963793817798	0.547461053913458	-0.448180037531002	-0.00259334193083839	0.00116602733865063	ovipar	20	21
OG0000222	fitBM1	0.30468531396187	0.554209426596942	-0.760143760070687	-0.0212868387750134	0.00331400045610954	ovipar	19	22
OG0000230	fitOU1	0.356406929232653	0.365761765580813	-0.108783817869041	0.0383892907293532	0.00303677146847474	ovipar	19	23
OG0000232	fitOU1	0.337708644039835	0.419057846459208	-0.497517289456487	-0.0519360529598158	0.0021870850034444	ovipar	20	22
OG0000239	fitBMS	0.27925074855249	0.747507235825446	-0.234950467758562	-0.0451436732706469	0.00382266331529447	ovipar	19	23
OG0000240	fitBMS	0.361514554969886	0.353066027790824	-0.834018056078472	0.0526526317259832	0.00310956335337045	ovipar	14	23
OG0000246	fitBM1	0.386744485232534	0.299153221450078	-0.46733425975399	0.0704156370835019	0.00519505090681428	ovipar	20	22
OG0000248	fitOU1	0.29625228601448	0.603611666422951	-0.264354111303614	0.0331118649128521	0.00237409179324605	ovipar	19	23
OG0000250	fitOU1	0.313770466076751	0.509594774367307	-0.0921147770912563	-0.152164540358549	0.00268864852390599	ovipar	20	23
OG0000252	fitBMS	0.359858534058674	0.35710638313389	-0.144476554904141	-0.096272038048839	0.0036563620188397	ovipar	18	22
OG0000253	fitOUM	0.306314840687525	0.545637581707765	-0.373592275223908	-0.0822857667829744	0.00302440474048208	ovipar	20	22
OG0000257	fitOUM	0.604758384563449	0.0913362348228455	-0.60689077495358	0.718007307936306	0.020334785256397	ovipar	20	20
OG0000262	fitOU1	0.287034901598842	0.671078898552349	-0.10924334801041	-0.0681375531103979	0.000648629232753468	ovipar	20	23
OG0000264	fitBMS	0.304496254240803	0.555222026373586	-0.503147301408985	0.0424724984475442	0.00261426153508319	ovipar	19	23
OG0000272	fitOU1	0.31447220107899	0.506441122126387	-0.737411275486416	0.0134394696394255	0.00400565630118522	ovipar	18	23
OG0000275	fitOU1	0.248078918115926	1	-0.127838576949717	-0.171912174061647	0.00205815257396566	ovipar	20	23
