OG	Model	aic.weight	Tree_size	Mean_trait	Perm_test
OG0000114	fitOUMVA	0.251924936199822	41	3.65822069126492	0.0119521912350857
OG0000115	fitWhite	0.398325096563572	27	1.24615264510984	0.529880478087662
OG0000116	fitWhite	0.588181124820782	16	-1.2566277029075	0.57370517928288
OG0000117	fitOU1	0.640096307338559	36	3.05015126408776	0.0239043824701451
NA	NA	NA	NA	NA	NA
OG0000119	fitBMS	0.568684283354899	42	2.86488212845531	0.00796812749006592
OG0000120	fitBMS	0.602807365766201	35	1.88503586219644	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000122	fitOU1	0.443544918877058	41	4.02496698313338	0.00398406374504612
OG0000123	fitBM1	0.351001782896762	17	1.97764184588108	0.00398406374504612
OG0000124	fitBM1	0.511887456519364	39	3.77686321991577	0.00398406374504612
OG0000125	fitBM1	0.312984592494747	17	0.384786335339004	0.027888446215165
NA	NA	NA	NA	NA	NA
OG0000127	fitOU1	0.6558802201428	30	1.37221339462615	0.0199203187251253
NA	NA	NA	NA	NA	NA
OG0000129	fitOUMA	0.472689454948976	31	3.13684149367203	0.0199203187251253
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000132	fitWhite	0.786162042238476	20	-0.00672450606942195	0.537848605577701
OG0000133	fitBM1	0.505051991812257	20	-0.12546565572443	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000135	fitOU1	0.74861531642049	41	3.74124803862245	0.0159362549801055
OG0000136	fitWhite	0.630061549521125	23	0.460576448775181	0.454183266932285
OG0000137	fitOUM	0.471284623122407	38	2.79021861077046	0.00398406374504612
OG0000138	fitWhite	0.420497201046462	25	2.84975715640006	0.517928286852602
OG0000139	fitOU1	0.51353999171374	24	0.574719091079695	0.0199203187251253
NA	NA	NA	NA	NA	NA
OG0000141	fitOU1	0.899168023681116	39	1.77686576347211	0.00796812749006592
OG0000142	fitWhite	0.810905135734342	17	-1.45353510642482	0.585657370517939
OG0000143	fitOU1	0.604214542441036	26	1.37223472000513	0.00796812749006592
OG0000144	fitOU1	0.713995473125705	35	0.76444318531818	0.00398406374504612
OG0000145	fitWhite	0.575424384673928	38	2.80936560239099	0.509960159362563
OG0000146	fitOU1	0.456300707088899	32	1.73573107921225	0.00398406374504612
OG0000147	fitOUMA	0.613063291892607	34	2.72917559501991	0.00398406374504612
OG0000148	fitOU1	0.500869549202286	22	0.852604456421582	0.0318725099601848
OG0000149	fitWhite	0.405147804981766	21	0.995138350163123	0.601593625498018
OG0000150	fitBM1	0.462116437438798	34	2.69865766635796	0.00398406374504612
OG0000151	fitBMS	0.943260488414644	33	3.91428535510745	0.00398406374504612
OG0000152	fitOU1	0.336045271539514	42	3.5504779494575	0.00398406374504612
OG0000153	fitOU1	0.649024141172456	39	4.0582051784314	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000156	fitOUM	0.551311313908574	29	2.40712607237988	0.00398406374504612
OG0000157	fitBM1	0.526437405609289	28	1.89108266222091	0.00398406374504612
OG0000158	fitWhite	0.775725851967521	19	0.659400579944877	0.633466135458177
OG0000159	fitOUM	0.272152239070744	41	4.8561876183545	0.00398406374504612
OG0000160	fitOU1	0.547738761563946	35	2.05847103238581	0.00398406374504612
OG0000161	fitBM1	0.513556066544112	23	1.24761537736227	0.00796812749006592
OG0000162	fitWhite	0.720462201154102	21	0.368444138543278	0.589641434262959
NA	NA	NA	NA	NA	NA
OG0000164	fitOUM	0.319223941815719	17	1.34509374565603	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000166	fitWhite	0.474777886851531	21	0.470964891789049	0.56573705179284
NA	NA	NA	NA	NA	NA
OG0000168	fitOUM	0.373175153934341	20	1.35172241632076	0.00398406374504612
OG0000169	fitOUM	0.301367046805617	28	0.349814449190569	0.00398406374504612
OG0000170	fitBM1	0.526578355426748	32	2.38415346575134	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000172	fitOU1	0.364735918783822	24	2.23116745104919	0.00796812749006592
