OG	Model	mean_expr	species_nr	sigma2	alpha	ovuliparity.sigma2	oviparity.sigma2	hemotrophic_viviparous.sigma2	ovuliparity.alpha	oviparity.alpha	hemotrophic_viviparous.alpha	ovuliparity.theta	oviparity.theta	hemotrophic_viviparous.theta	ovuliparity.theta.se	oviparity.theta.se	hemotrophic_viviparous.theta.se	theta	theta.anc	theta.se	theta.anc.se
OG0000000	BMS	-4.30220966111119	25	NA	NA	0.00475043602427541	0.0233359559357066	0.337019825242703	NA	NA	NA	5201636.75033916	-5193731.93188441	-7904.81817498392	18665677.047498	18637311.2089197	28365.8375729158	NA	-4.67879048947893	NA	1.57160122301738
OG0000004	OUMV	-1.51685974164255	39	NA	0.163520949731588	0.163520949731588	0.200256761355928	1.72963632981735	NA	NA	NA	-2.39183419314066	-0.171942069003131	2.1471216352435	0.926780644048582	1.11724262946562	9.42775431042022	NA	NA	NA	NA
OG0000011	BMS	-2.23415211144908	32	NA	NA	0.0153609662170772	0.0654582718914124	1.45607124203419	NA	NA	NA	38633.8692018501	-38573.8808542429	-59.9883597083899	31422822.556153	31374031.0877969	48791.4780859525	NA	-2.07628871701728	NA	2.62990749445252
OG0000012	BMS	-3.65504079663897	38	NA	NA	0.00984165115840469	0.0737547096473301	1.79222020927686	NA	NA	NA	-3.14759215331785e-07	-1.72996072495665e-08	-1.39863831755453e-10	8.69626320689989e-08	4.77958803714911e-09	3.86420042631286e-11	NA	-4.03153728675738	NA	1.11384536707265
OG0000013	BMS	-1.23134487048182	37	NA	NA	0.0147870727935113	0.0717784192341318	0.507104664413191	NA	NA	NA	-3950635.70786556	3947572.3692014	3063.33793793165	27819852.5299565	27798280.9054944	21571.6193505207	NA	-1.88086282872806	NA	2.34973235103052
OG0000014	OU1	-1.18765375668038	33	0.237353080314317	0.0133279750689236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.824039944529051	NA	0.560834883714555	NA
OG0000015	OUMV	-4.90762876441464	42	NA	0.291695563087232	0.291695563087232	0.9255189336629	4.87997924619355	NA	NA	NA	-5.5294251465474	-5.28016330162895	-2.00645247340408	0.394106548358055	0.652501246325862	2.6636911258519	NA	NA	NA	NA
OG0000016	BMS	-2.59911915334483	33	NA	NA	0.0146146019843962	0.0600255896870015	1.40986166076857	NA	NA	NA	10243718.8388494	-10238192.1879254	-5526.64636341327	30317566.17348	30301209.3593441	16356.8006381363	NA	-1.13939063298992	NA	2.56861817056094
OG0000019	OUM	-0.777827825457205	36	0.380475536458731	0.0311706191425146	NA	NA	NA	NA	NA	NA	-1.52380400763757	-1.37344584802559	5.04933837258101	0.694862861960906	0.611146761986654	1.31209977229327	NA	NA	NA	NA
OG0000030	OU1	-2.08465004678894	36	0.214537170406446	0.00577470793848398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.212520085121	NA	0.893819879005931	NA
OG0000032	BMS	-1.82109302920844	31	NA	NA	0.00996909291807701	0.0487123499291483	1.29386210765516	NA	NA	NA	-9555559.65071975	9552938.65493814	2620.99256968392	23089808.3305106	23083475.0237824	6333.29896749011	NA	-0.560526994404376	NA	1.95121533754358
OG0000034	OUMV	-0.382202107269024	35	NA	0.382435447410481	0.382435447410481	0.271788499257619	1.8759683054642	NA	NA	NA	-0.20612319702647	-2.92931275066062	10.6409928111369	0.701198008595212	0.536492871461403	2.93218665294929	NA	NA	NA	NA
OG0000035	OUMV	-0.836472561764014	34	NA	0.63104109049634	0.63104109049634	1.2634785984903	8.24234550044952	NA	NA	NA	-0.953825310977652	-0.528321586009148	-1.16736748199279	0.471462737454794	0.728005699049265	2.69865610645693	NA	NA	NA	NA
OG0000037	OUMV	-2.63869004597689	40	NA	0.0814807943501382	0.0814807943501382	0.18421165220084	0.825172612349181	NA	NA	NA	-0.581661452690535	-3.86593505698019	-1.07906459929635	0.529822895538926	0.850459380999479	4.67466430767326	NA	NA	NA	NA
OG0000039	OUMV	-2.04033430093725	37	NA	0.181610361230297	0.181610361230297	0.0175763556025427	0.518538792300832	NA	NA	NA	-1.832679876921	-2.8554461766983	-0.380247786189132	1.16716038230215	0.326512797320753	5.61713572970984	NA	NA	NA	NA
OG0000041	OUMV	-1.02288704483991	42	NA	0.0405110013800788	0.0405110013800788	0.0868360476939013	0.469856247462306	NA	NA	NA	-1.35016572293539	-0.96227693352172	0.153372742754383	0.517774555660498	0.877504093422503	6.62121412413715	NA	NA	NA	NA
OG0000042	BMS	-2.03675854278648	37	NA	NA	0.0160823192975416	0.0671325547102117	0.672234367018876	NA	NA	NA	-7747009.27513796	7724294.70701179	22714.5678303163	31300628.715781	31208853.911065	91774.8035203546	NA	-0.478324850148642	NA	2.64189441061044
OG0000051	OUMV	-1.68465201184033	38	NA	0.0881526921029844	0.0881526921029844	0.158703701105159	1.12103102219698	NA	NA	NA	-0.302410480552387	-2.2335395694792	0.316538359007098	0.71619185091854	1.04410586243395	8.44156830803537	NA	NA	NA	NA
OG0000053	OUMV	-2.12220907678489	41	NA	0.147817063182175	0.147817063182175	0.15874119659057	2.32117038326849	NA	NA	NA	-1.28675782993679	-1.68249537835459	-6.24698326591473	0.711765802315699	0.789896832185468	7.5281810373797	NA	NA	NA	NA
OG0000055	OUM	-2.68759414067283	28	0.474600309591608	0.0300182081226533	NA	NA	NA	NA	NA	NA	-2.19300711257706	-4.48539876301004	7.70512697727495	0.824254381327607	0.807524508392121	2.04211459299006	NA	NA	NA	NA
OG0000056	OUMVA	-4.27343690839622	41	NA	NA	0.242682212526182	0.261288089124128	0.177819023122681	0.0358749149403654	0.0355432922700618	0.00678690589244786	-3.71041805332023	-4.82624728350126	-1.79232786134635e-09	0.400477467103294	0.443816372043994	1.93674932225014e-10	NA	NA	NA	NA
OG0000057	BMS	-5.00744824559425	38	NA	NA	0.00465304449857948	0.0295460490386805	0.70197717685107	NA	NA	NA	-4.47971359548698e-07	-2.45515501598896e-08	-1.28735709433754e-10	5.7078546591223e-08	3.12825087992186e-09	1.64029396796062e-11	NA	-5.73606341698391	NA	0.730864051948245
OG0000064	OUM	-3.10954631965757	35	1.21668352218508	0.0336582554079078	NA	NA	NA	NA	NA	NA	-2.46452972265937	-5.27049275539464	4.37579934770453	1.1943939969395	1.11650418843367	2.05505070639725	NA	NA	NA	NA
OG0000065	OUMV	-0.0328089265761493	40	NA	0.112769802095863	0.112769802095863	0.349218007594146	2.10540108772163	NA	NA	NA	0.618447730758433	0.493025597132419	-2.67618166566096	0.452412318927976	0.749570869935013	3.77684431668292	NA	NA	NA	NA
OG0000066	BMS	-0.0289200606796671	39	NA	NA	0.00807497002667869	0.00837689485145035	0.101402633651617	NA	NA	NA	-9933897.74716314	9962694.04737059	-28796.3004039237	11553408.7541719	11586899.6794232	33490.9254798262	NA	0.230015447443187	NA	1.43576287356167
OG0000068	OUM	-1.17299092708355	41	0.114554482615081	0.0164628870706408	NA	NA	NA	NA	NA	NA	-1.78618763562932	-0.283056507028731	-3.2276687701924	0.484071776727588	0.493640040351232	1.07221574340358	NA	NA	NA	NA
OG0000070	OUMV	-1.78183131312207	26	NA	1.74162771772946	1.74162771772946	1.50170451746297	1e-09	NA	NA	NA	-1.37638494793047	-0.719464693560631	-21.4242777531434	0.865258289803212	0.669361724321079	6.55659998886323e-05	NA	NA	NA	NA
OG0000071	OU1	-2.16452324795883	29	0.282189877425564	0.00732901384740765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.78946078853179	NA	1.02557167175909	NA
OG0000073	OUM	-2.1703001478232	33	0.395232615644546	0.0265778089969627	NA	NA	NA	NA	NA	NA	-1.04184056071521	-4.0305143870502	6.46972719270467	0.802711050133675	0.704807006212589	1.74752918858354	NA	NA	NA	NA
OG0000076	BMS	-1.83343780730985	30	NA	NA	0.00681575258581304	0.0839501933200181	0.239504833929275	NA	NA	NA	-1.80277575826694e-09	-1.05742310294392e-10	-5.29926506390081e-12	8.36382185675595e-08	4.90582282332405e-09	2.45854808968629e-10	NA	-0.02322593754042	NA	1.07754723877013
OG0000077	OU1	-0.607521431464909	37	0.0315507158527915	0.006673163109475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.728837981921103	NA	0.317227537410977	NA
OG0000080	OUMV	-3.26822722964957	43	NA	0.112806565891323	0.112806565891323	0.989451961981781	2.38784503251193	NA	NA	NA	-1.1351544679126	-3.51859750561544	-3.5820515428564	0.539731721770385	1.66479010239775	6.19411350465165	NA	NA	NA	NA
OG0000081	OUMV	-1.12956325689571	41	NA	0.0337338122813842	0.0337338122813842	0.0252517922798613	0.575333380674707	NA	NA	NA	0.282377069174446	-1.66023883726761	-6.10667904086525	0.413068216709548	0.40692479825366	5.53834851614431	NA	NA	NA	NA
